City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alta floresta,-9.8756,-56.0861,71.11,96,100,2.75,BR,1675994330
1,kasongo,-4.45,26.6667,67.62,95,100,2.93,CD,1675994331
2,new norfolk,-42.7826,147.0587,70.88,67,61,1.01,AU,1675994331
3,itoman,26.1247,127.6694,68.4,96,75,23.02,JP,1675994331
4,qaanaaq,77.484,-69.3632,-9.0,60,0,9.08,GL,1675994332
5,mataura,-46.1927,168.8643,61.48,33,54,4.59,NZ,1675994332
6,yellowknife,62.456,-114.3525,-4.45,77,20,4.61,CA,1675994098
7,albany,42.6001,-73.9662,48.04,85,100,3.0,US,1675994333
8,rikitea,-23.1203,-134.9692,80.06,73,0,17.58,PF,1675994333
9,victoria point,-27.5833,153.3,89.69,55,1,11.01,AU,1675994334
10,jamestown,42.097,-79.2353,51.39,92,100,12.66,US,1675994067
11,pontes e lacerda,-15.2261,-59.3353,73.4,94,91,2.08,BR,1675994334
12,luanda,-8.8368,13.2343,77.0,83,20,3.44,AO,1675994258
13,pecos,31.4229,-103.4932,45.25,61,0,20.71,US,1675994335
14,carutapera,-1.195,-46.02,76.37,91,64,5.44,BR,1675994336
15,carnarvon,-24.8667,113.6333,80.73,67,92,19.24,AU,1675994336
16,cidreira,-30.1811,-50.2056,73.69,84,88,9.73,BR,1675994046
17,ojinaga,29.5667,-104.4167,62.42,27,0,4.61,MX,1675994337
18,provideniya,64.3833,-173.3,-3.89,65,100,8.95,RU,1675994337
19,mar del plata,-38.0023,-57.5575,72.09,100,20,5.75,AR,1675994337
20,ulety,51.3572,112.4849,8.08,90,100,1.5,RU,1675994338
21,bell ville,-32.6259,-62.6887,71.8,29,0,7.14,AR,1675994338
22,richards bay,-28.783,32.0377,72.07,95,100,9.06,ZA,1675994179
23,bethel,41.3712,-73.414,48.85,84,100,4.61,US,1675994339
24,saint-philippe,-21.3585,55.7679,74.79,80,99,11.07,RE,1675994339
25,hastings,50.8552,0.5729,41.79,55,42,2.51,GB,1675994340
26,hovd,48.0056,91.6419,4.6,80,100,1.41,MN,1675994340
27,quatre cocos,-20.2078,57.7625,78.1,78,87,10.92,MU,1675994341
28,udine,46.0619,13.2422,31.53,68,0,4.61,IT,1675994341
29,opuwo,-18.0607,13.84,64.63,67,72,4.12,NA,1675994342
30,cape town,-33.9258,18.4232,69.91,75,0,11.5,ZA,1675994223
31,saint-pierre,-21.3393,55.4781,74.88,69,0,5.75,RE,1675994342
32,turan,16.0678,108.2208,78.78,78,40,6.91,VN,1675994081
33,saskylakh,71.9167,114.0833,-46.28,98,52,7.02,RU,1675994343
34,kapaa,22.0752,-159.319,79.12,73,40,11.01,US,1675994343
35,ushuaia,-54.8,-68.3,49.66,81,100,5.75,AR,1675994344
36,tilichiki,60.4667,166.1,-10.28,85,100,13.58,RU,1675994344
37,cherskiy,68.75,161.3,-40.09,98,97,4.99,RU,1675994344
38,punta arenas,-53.15,-70.9167,50.11,76,40,19.57,CL,1675994345
39,vestmannaeyjar,63.4427,-20.2734,37.44,87,100,31.72,IS,1675994345
40,dikson,73.5069,80.5464,3.06,93,100,30.96,RU,1675994346
41,russas,-4.9403,-37.9758,81.05,70,97,6.76,BR,1675994346
42,hilo,19.7297,-155.09,74.93,78,100,9.22,US,1675994347
43,weligama,5.9667,80.4167,75.51,86,84,3.42,LK,1675994347
44,kushtagi,15.7667,76.2,69.22,52,37,4.56,IN,1675994347
45,lubango,-14.9172,13.4925,58.71,65,66,3.33,AO,1675994348
46,tuatapere,-46.1333,167.6833,60.89,57,60,9.64,NZ,1675994348
47,lorengau,-2.0226,147.2712,81.75,80,100,13.18,PG,1675994349
48,avarua,-21.2078,-159.775,78.85,89,100,6.91,CK,1675994349
49,half moon bay,37.4636,-122.4286,60.66,62,0,13.8,US,1675994350
50,lebu,-37.6167,-73.65,59.41,94,2,5.95,CL,1675994350
51,bayan,46.0833,127.4,19.35,94,100,6.71,CN,1675994350
52,dunedin,-45.8742,170.5036,58.6,64,90,10.07,NZ,1675994351
53,tombouctou,20.0,-3.0,68.65,13,100,17.22,ML,1675994351
54,halifax,44.6453,-63.5724,30.2,51,100,6.91,CA,1675994284
55,lagos,6.5833,3.75,82.72,90,10,3.2,NG,1675993800
56,makasar,-5.14,119.4221,82.45,74,20,2.3,ID,1675994352
57,teya,60.3778,92.6267,-25.26,100,99,2.33,RU,1675994352
58,nanortalik,60.1432,-45.2371,29.05,97,100,7.29,GL,1675994353
59,mersing,2.4312,103.8405,76.91,94,20,2.3,MY,1675994353
60,kaitangata,-46.2817,169.8464,61.36,48,65,6.55,NZ,1675994354
61,erenhot,43.6475,111.9767,23.52,69,86,12.33,CN,1675994354
62,kavieng,-2.5744,150.7967,81.91,80,100,13.76,PG,1675994355
63,busselton,-33.65,115.3333,75.63,49,0,10.25,AU,1675994355
64,yoichi,43.2039,140.7703,25.54,59,100,3.15,JP,1675994356
65,biak,-0.9131,122.8766,83.52,62,100,3.18,ID,1675994357
66,atbasar,51.8,68.3333,-6.84,100,78,9.17,KZ,1675994357
67,stepnyak,52.8339,70.7803,0.03,92,20,13.42,KZ,1675994357
68,san patricio,28.017,-97.5169,62.83,48,100,7.18,US,1675994358
69,puerto ayora,-0.7393,-90.3518,79.56,92,93,3.0,EC,1675994358
70,praya,14.9215,-23.5087,68.54,73,20,16.11,CV,1675994359
71,chuy,-33.6971,-53.4616,69.75,88,0,5.28,UY,1675994359
72,georgetown,5.4112,100.3354,84.13,89,20,4.61,MY,1675994141
73,sochi,43.6,39.7303,33.89,73,17,9.04,RU,1675994299
74,floresta,-8.6011,-38.5686,79.79,60,100,15.26,BR,1675994360
75,nome,64.5011,-165.4064,-0.33,71,100,3.44,US,1675994360
76,roald,62.5833,6.1333,35.33,75,40,26.46,NO,1675994361
77,lanigan,51.8501,-105.0344,10.29,91,73,7.85,CA,1675994361
78,barrow,71.2906,-156.7887,-16.58,69,100,6.91,US,1675994362
79,flinders,-34.5833,150.8552,86.05,70,1,4.0,AU,1675994362
80,hithadhoo,-0.6,73.0833,81.1,73,100,10.33,MV,1675994363
81,mayo,38.8876,-76.5119,68.16,72,75,14.97,US,1675994215
82,padang,-0.9492,100.3543,77.05,83,100,2.19,ID,1675994363
83,alghero,40.5589,8.3181,37.49,87,0,5.75,IT,1675994364
84,belyy yar,53.6039,91.3903,-7.71,84,75,4.47,RU,1675994364
85,macau,22.2006,113.5461,72.86,94,75,2.3,MO,1675994161
86,atuona,-9.8,-139.0333,79.27,78,8,19.93,PF,1675994365
87,kruisfontein,-34.0033,24.7314,61.88,93,0,2.71,ZA,1675994365
88,moron,-34.6534,-58.6198,82.96,74,0,3.22,AR,1675994366
89,kirakira,-10.4544,161.9205,83.12,78,100,9.42,SB,1675994366
90,san policarpo,12.1791,125.5072,79.9,83,100,14.85,PH,1675994367
91,bengkulu,-3.8004,102.2655,79.2,77,99,4.43,ID,1675994367
92,ponta do sol,32.6667,-17.1,61.43,77,99,9.51,PT,1675994149
93,denpasar,-8.65,115.2167,82.06,83,20,3.44,ID,1675994250
94,saldanha,-33.0117,17.9442,68.05,82,0,7.47,ZA,1675994368
95,ongandjera,-17.8833,15.0667,72.5,53,98,9.62,NA,1675994369
96,meulaboh,4.1363,96.1285,79.0,85,72,8.34,ID,1675994369
97,vaini,-21.2,-175.2,82.56,83,75,5.75,TO,1675994370
98,acapulco,16.8634,-99.8901,77.38,69,10,7.47,MX,1675994370
99,bredasdorp,-34.5322,20.0403,68.59,89,53,11.05,ZA,1675994370
100,soyo,-6.1349,12.3689,78.51,82,18,7.76,AO,1675994371
101,hualmay,-11.0964,-77.6139,72.19,86,98,7.56,PE,1675994371
102,bluff,-46.6,168.3333,61.81,61,55,13.31,NZ,1675994372
103,la rioja,42.25,-2.5,20.98,76,37,4.54,ES,1675994372
104,norman wells,65.282,-126.8329,-7.56,77,20,4.61,CA,1675994372
105,paamiut,61.994,-49.6678,20.16,92,100,22.59,GL,1675994131
106,malinovoye ozero,51.6753,79.7825,-14.42,100,84,5.21,RU,1675994373
107,inverell,-29.7833,151.1167,82.11,48,0,5.01,AU,1675994373
108,nikolskoye,59.7035,30.7861,28.8,87,100,13.09,RU,1675994374
109,presidencia roque saenz pena,-26.7852,-60.4388,73.02,89,29,4.65,AR,1675994374
110,lata,40.1629,-8.3327,41.92,72,0,6.46,PT,1675994375
111,tiksi,71.6872,128.8694,-40.2,99,82,4.5,RU,1675994375
112,birao,10.2849,22.7882,64.08,15,57,6.62,CF,1675994376
113,victoria,22.2855,114.1577,70.97,88,88,3.0,HK,1675994183
114,port elizabeth,-33.918,25.5701,64.09,94,0,2.3,ZA,1675994376
115,ahipara,-35.1667,173.1667,70.61,52,100,5.35,NZ,1675994377
116,severo-kurilsk,50.6789,156.125,21.29,61,90,27.4,RU,1675994377
117,ust-maya,60.4167,134.5333,-35.25,96,90,1.66,RU,1675994377
118,mayahi,13.9553,7.6712,65.46,12,14,10.27,NE,1675994378
119,wewak,-3.5534,143.6268,77.52,90,100,6.76,PG,1675994378
120,dhidhdhoo,6.8833,73.1,79.25,72,74,2.57,MV,1675994379
121,tonj,7.2737,28.6822,73.8,21,74,5.57,SS,1675994379
122,sitka,57.0531,-135.33,42.69,75,100,13.8,US,1675994379
123,ikwiriri,-7.9562,38.9716,74.21,97,100,1.54,TZ,1675994380
124,komsomolskiy,40.4272,71.7189,29.12,93,75,2.3,UZ,1675994380
125,petropavlovsk-kamchatskiy,53.0452,158.6483,7.39,56,75,4.47,RU,1675994381
126,daru,-9.0763,143.2092,78.85,85,100,11.88,PG,1675994381
127,pangnirtung,66.1451,-65.7125,-35.77,88,26,3.22,CA,1675994382
128,hobart,-42.8794,147.3294,70.23,81,75,9.22,AU,1675994106
129,coquimbo,-29.9533,-71.3436,64.13,88,0,8.05,CL,1675994343
130,san quintin,30.4833,-115.95,61.56,40,0,1.59,MX,1675994383
131,isangel,-19.55,169.2667,77.81,94,100,11.74,VU,1675994383
132,dvinskoy,62.1535,45.1175,27.05,86,100,10.63,RU,1675994384
133,tasiilaq,65.6145,-37.6368,23.16,57,100,14.65,GL,1675994138
134,chittur,10.7,76.75,71.15,64,60,5.28,IN,1675994384
135,nambucca heads,-30.65,153.0,81.0,66,2,11.27,AU,1675994385
136,chicama,-7.8447,-79.1469,72.14,76,38,5.03,PE,1675994385
137,liwale,-9.7667,37.9333,71.33,99,100,2.62,TZ,1675994385
138,northam,51.0333,-4.2167,36.39,81,99,4.27,GB,1675994386
139,ngunguru,-35.6167,174.5,68.22,67,100,10.98,NZ,1675994386
140,nishihara,26.1842,127.7558,67.68,97,100,23.02,JP,1675994387
141,tyret pervaya,53.6703,102.3106,-3.01,100,100,2.21,RU,1675994387
142,butaritari,3.0707,172.7902,81.16,80,100,19.19,KI,1675994387
143,igarka,67.4667,86.5833,-4.32,96,100,14.56,RU,1675994388
144,kalmunai,7.4167,81.8167,75.74,85,99,5.93,LK,1675994388
145,pevek,69.7008,170.3133,-24.29,98,100,4.52,RU,1675994389
146,santa cruz,-17.8,-63.1667,76.46,94,75,4.61,BO,1675994263
147,kodiak,57.79,-152.4072,26.65,58,0,3.49,US,1675994389
148,upernavik,72.7868,-56.1549,-23.93,95,99,6.76,GL,1675994139
149,ilulissat,69.2167,-51.1,-10.16,99,100,9.75,GL,1675994390
150,souillac,-20.5167,57.5167,77.38,78,75,6.91,MU,1675994390
151,tres arroyos,-38.3739,-60.2798,69.87,47,0,11.25,AR,1675994194
152,carballo,43.213,-8.691,44.02,85,0,4.09,ES,1675994391
153,te anau,-45.4167,167.7167,65.57,39,30,1.14,NZ,1675994391
154,lagoa,39.05,-27.9833,56.8,58,88,12.62,PT,1675994392
155,saran,47.9501,1.876,26.62,93,75,0.0,FR,1675994392
156,katsuura,35.1333,140.3,41.02,81,100,12.66,JP,1675994393
157,iquique,-20.2208,-70.1431,73.44,78,79,0.89,CL,1675994393
158,torbay,47.6666,-52.7314,16.57,80,100,17.27,CA,1675994393
159,faya,18.3851,42.4509,53.71,79,59,1.07,SA,1675994394
160,saint-augustin,51.226,-58.6502,-0.67,83,8,9.51,CA,1675994394
161,trairi,-3.2778,-39.2689,79.25,80,83,7.9,BR,1675994254
162,sola,-13.8833,167.55,82.45,71,20,13.53,VU,1675994395
163,hasaki,35.7333,140.8333,37.22,76,100,16.11,JP,1675994395
164,kahului,20.8947,-156.47,78.82,67,40,19.57,US,1675994396
165,port alfred,-33.5906,26.891,66.18,97,100,1.99,ZA,1675994396
166,hamilton,39.1834,-84.5333,47.64,66,100,23.02,US,1675994315
167,safakulevo,54.9901,62.5442,20.89,87,100,13.42,RU,1675994397
168,gondar,12.6,37.4667,58.23,42,5,5.23,ET,1675994397
169,arman,59.7,150.1667,0.86,71,100,11.07,RU,1675994398
170,pizhanka,57.4604,48.542,23.02,92,100,12.62,RU,1675994398
171,iqaluit,63.7506,-68.5145,-27.31,74,40,11.5,CA,1675994399
172,airai,-8.9266,125.4092,66.13,84,100,4.38,TL,1675994399
173,hobyo,5.3505,48.5268,75.0,76,7,16.53,SO,1675994399
174,aswan,24.0934,32.907,54.7,37,0,6.91,EG,1675994384
175,luderitz,-26.6481,15.1594,62.91,91,5,7.67,NA,1675994400
176,hermanus,-34.4187,19.2345,71.8,79,67,16.04,ZA,1675994401
177,gladstone,-23.85,151.25,89.78,42,40,8.05,AU,1675994421
